Date,"Event Name","Event Region","Event Type",Division,"Match Type","Match Number","Red 1","Red 2","Red 3","Blue 1","Blue 2","Blue 3","Red 1; No Show (1) Disqualified (2)","Red 2; No Show (1) Disqualified (2)","Red 3; No Show (1) Disqualified (2)","Blue 1; No Show (1) Disqualified (2)","Blue 2; No Show (1) Disqualified (2)","Blue 3; No Show (1) Disqualified (2)","Red 1 Surrogate","Red 2 Surrogate","Red 3 Surrogate","Blue 1 Surrogate","Blue 2 Surrogate","Blue 3 Surrogate","Match Saved","Red Autonomous Period; Robot 1 Placement","Red Autonomous Period, Robot 2 Placement","Red Autonomous Period, Rescue Beacons","Red Autonomous Period, Climbers in Shelter","Red Driver Controlled; Robot 1 Placement","Red Driver Controlled; Robot 2 Placement","Red Driver Controlled; Floor Goal","Red Driver Controlled; High Goal","Red Driver Controlled; Low Goal","Red Driver Controlled; Mid Goal","Red Driver Controlled; Climbers in Shelter","Red Driver Controlled; Zip Line","Red End Game; All Clear Signal","Red End Game; Robot on Pull Up Bar","Red Minor Penalty Incurred","Red Major Penalty Incurred","Red Minor Penalty Awarded","Red Major Penalty Awarded","Blue Autonomous Period; Robot 1 Placement","Blue Autonomous Period, Robot 2 Placement","Blue Autonomous Period, Rescue Beacons","Blue Autonomous Period, Climbers in Shelter","Blue Driver Controlled; Robot 1 Placement","Blue Driver Controlled; Robot 2 Placement","Blue Driver Controlled; Floor Goal","Blue Driver Controlled; High Goal","Blue Driver Controlled; Low Goal","Blue Driver Controlled; Mid Goal","Blue Driver Controlled; Climbers in Shelter","Blue Driver Controlled; Zip Line","Blue End Game; All Clear Signal","Blue End Game; Robot on Pull Up Bar","Blue Minor Penalty Incurred","Blue Major Penalty Incurred","Blue Minor Penalty Awarded","Blue Major Penalty Awarded",
3/11/2016,FTC South Super Regional - Ochoa,South,Super Regional Championship,2,1,47,4631,3781,0,7398,8373,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,5,0,0,4,0,4,2,2,0,1,0,0,0,0,0,3,0,0,0,0,10,0,0,7,2,1,1,2,0,0,0,0,
3/11/2016,FTC South Super Regional - Ochoa,South,Super Regional Championship,2,1,48,7505,3587,0,5970,6451,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,2,7,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,3,1,4,2,1,2,0,0,0,0,
3/11/2016,FTC South Super Regional - Ochoa,South,Super Regional Championship,2,1,49,5890,7079,0,4906,6047,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,5,0,1,0,0,0,0,0,0,0,1,1,0,3,0,0,4,6,14,0,0,4,1,2,0,0,1,1,0,0,
3/11/2016,FTC South Super Regional - Ochoa,South,Super Regional Championship,2,1,50,8626,9930,0,8668,6123,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,4,3,2,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,3,5,12,0,0,0,2,1,0,0,1,0,0,0,
3/11/2016,FTC South Super Regional - Ochoa,South,Super Regional Championship,2,1,51,7300,7842,0,6710,5064,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,5,1,4,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,1,0,2,0,0,0,0,
3/11/2016,FTC South Super Regional - Ochoa,South,Super Regional Championship,2,1,52,8908,8609,0,5628,4545,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,2,7,0,0,3,2,0,1,0,0,0,0,0,0,0,0,5,4,8,11,2,0,0,2,0,0,0,0,0,0,
3/11/2016,FTC South Super Regional - Ochoa,South,Super Regional Championship,2,1,53,8366,5937,0,9879,7163,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,2,5,4,10,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,3,0,15,0,0,0,1,2,1,1,0,1,0,0,
3/11/2016,FTC South Super Regional - Ochoa,South,Super Regional Championship,2,1,54,4290,10479,0,11000,9386,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,1,2,11,0,0,0,0,0,0,0,0,5,14,0,0,0,0,0,0,0,0,0,11,0,
3/11/2016,FTC South Super Regional - Ochoa,South,Super Regional Championship,2,1,55,8668,5970,0,7398,92,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,2,6,4,0,0,1,0,4,1,0,0,2,0,0,0,3,0,0,0,3,0,21,0,1,0,2,2,0,1,0,0,2,0,
3/11/2016,FTC South Super Regional - Ochoa,South,Super Regional Championship,2,1,56,8373,7505,0,4641,6710,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,2,5,4,8,0,0,0,2,3,1,0,0,0,0,0,0,1,0,0,4,0,11,0,0,0,1,3,1,1,0,0,0,0,
3/11/2016,FTC South Super Regional - Ochoa,South,Super Regional Championship,2,1,57,3587,3854,0,3781,7300,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,4,0,0,2,2,1,2,1,0,0,0,
3/11/2016,FTC South Super Regional - Ochoa,South,Super Regional Championship,2,1,58,6047,6123,0,8366,4545,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,3,0,0,12,3,2,1,2,0,0,1,0,2,0,0,1,5,4,8,4,0,3,1,2,1,0,1,0,0,0,
3/11/2016,FTC South Super Regional - Ochoa,South,Super Regional Championship,2,1,59,8609,5064,0,5937,4906,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,4,0,4,13,0,14,0,2,0,1,0,0,0,0,2,0,0,0,3,4,6,0,0,1,4,1,0,0,0,0,0,0,
